"File","Lines","HasDirectives","HasSelfCheck","HasExamples","Score"
".ai-iap\rules\bash\architecture.md","33","False","False","False","0"
".ai-iap\rules\bash\code-style.md","39","False","False","False","0"
".ai-iap\rules\bash\security.md","38","False","False","False","0"
".ai-iap\rules\css\architecture.md","23","False","False","False","0"
".ai-iap\rules\css\code-style.md","24","False","False","False","0"
".ai-iap\rules\css\security.md","19","False","False","False","0"
".ai-iap\rules\dart\architecture.md","109","False","False","True","1"
".ai-iap\rules\dart\code-style.md","87","False","False","True","1"
".ai-iap\rules\dart\security.md","107","False","True","True","2"
".ai-iap\rules\dart\frameworks\bloc.md","88","False","False","True","1"
".ai-iap\rules\dart\frameworks\flutter.md","93","False","False","True","1"
".ai-iap\rules\dart\frameworks\getx.md","101","True","True","True","4"
".ai-iap\rules\dart\frameworks\riverpod.md","117","False","False","True","1"
".ai-iap\rules\dart\frameworks\structures\flutter-clean.md","75","False","False","True","1"
".ai-iap\rules\dart\frameworks\structures\flutter-feature.md","54","False","False","True","1"
".ai-iap\rules\dart\frameworks\structures\flutter-layer.md","49","False","False","True","1"
".ai-iap\rules\dockerfile\architecture.md","17","False","False","False","0"
".ai-iap\rules\dockerfile\code-style.md","16","False","False","False","0"
".ai-iap\rules\dockerfile\security.md","23","False","False","False","0"
".ai-iap\rules\dotenv\architecture.md","13","False","False","False","0"
".ai-iap\rules\dotenv\code-style.md","16","False","False","False","0"
".ai-iap\rules\dotenv\security.md","19","False","False","False","0"
".ai-iap\rules\dotnet\architecture.md","78","False","False","True","1"
".ai-iap\rules\dotnet\code-style.md","82","False","False","True","1"
".ai-iap\rules\dotnet\security.md","96","False","True","False","1"
".ai-iap\rules\dotnet\frameworks\aspnetcore.md","144","True","True","True","4"
".ai-iap\rules\dotnet\frameworks\blazor.md","67","False","False","False","0"
".ai-iap\rules\dotnet\frameworks\dapper.md","114","False","False","True","1"
".ai-iap\rules\dotnet\frameworks\efcore.md","98","True","True","True","4"
